Date,Price
2014-01-02,773.44
2014-01-03,802.85
2014-01-04,823.27
2014-01-05,858.55
2014-01-06,936.05
2014-01-07,946.49
2014-01-08,795.99
2014-01-09,841.47
2014-01-10,846.69
2014-01-11,867.32
2014-01-12,919.6
2014-01-13,860.19
2014-01-14,843.17
2014-01-15,833.12
2014-01-16,860.29
2014-01-17,834.49
2014-01-18,816.07
2014-01-19,839.66
2014-01-20,871.39
2014-01-21,869.65
2014-01-22,867.21
2014-01-23,845.46
2014-01-24,822.43
2014-01-25,796.24
2014-01-26,853.68
2014-01-27,884.6
2014-01-28,774.02
2014-01-29,809.96
2014-01-30,826.02
2014-01-31,818.43
2014-02-01,828.61
2014-02-02,832.9
2014-02-03,824.08
2014-02-04,823.77
2014-02-05,829.96
2014-02-06,815.59
2014-02-07,783.2
2014-02-08,699.57
2014-02-09,671.46
2014-02-10,681.32
2014-02-11,683.5
2014-02-12,672.38
2014-02-13,651.08
2014-02-14,601.17
2014-02-15,660.9
2014-02-16,651.3
2014-02-17,614.23
2014-02-18,627.16
2014-02-19,625.97
2014-02-20,623.09
2014-02-21,556.88
2014-02-22,574.24
2014-02-23,606.47
2014-02-24,606.04
2014-02-25,540.24
2014-02-26,537.04
2014-02-27,581.65
2014-02-28,579.7
2014-03-01,549.92
2014-03-02,567.23
2014-03-03,562.56
2014-03-04,668.24
2014-03-05,666.24
2014-03-06,664.52
2014-03-07,664.31
2014-03-08,629.66
2014-03-09,616.31
2014-03-10,636.33
2014-03-11,627.95
2014-03-12,631.91
2014-03-13,633.62
2014-03-14,638.14
2014-03-15,629.37
2014-03-16,636.5
2014-03-17,630.92
2014-03-18,621.84
2014-03-19,613.9
2014-03-20,609.74
2014-03-21,588.29
2014-03-22,571.18
2014-03-23,565.76
2014-03-24,562.51
2014-03-25,585.03
2014-03-26,583.48
2014-03-27,580.26
2014-03-28,477.14
2014-03-29,501.71
2014-03-30,492.37
2014-03-31,462.3
2014-04-01,457.0
2014-04-02,479.14
2014-04-03,436.44
2014-04-04,445.66
2014-04-05,446.67
2014-04-06,463.4
2014-04-07,461.47
2014-04-08,447.61
2014-04-09,453.18
2014-04-10,442.26
2014-04-11,363.71
2014-04-12,420.89
2014-04-13,421.46
2014-04-14,414.83
2014-04-15,458.37
2014-04-16,522.18
2014-04-17,529.07
2014-04-18,495.8
2014-04-19,479.58
2014-04-20,501.75
2014-04-21,497.74
2014-04-22,495.45
2014-04-23,488.36
2014-04-24,490.83
2014-04-25,500.09
2014-04-26,461.7
2014-04-27,457.24
2014-04-28,430.72
2014-04-29,439.98
2014-04-30,446.89
2014-05-01,447.63
2014-05-02,457.36
2014-05-03,449.4
2014-05-04,438.52
2014-05-05,434.78
2014-05-06,433.36
2014-05-07,429.34
2014-05-08,438.68
2014-05-09,440.18
2014-05-10,450.46
2014-05-11,453.92
2014-05-12,438.3
2014-05-13,441.53
2014-05-14,440.59
2014-05-15,444.14
2014-05-16,447.39
2014-05-17,448.12
2014-05-18,448.7
2014-05-19,446.08
2014-05-20,446.3
2014-05-21,485.8
2014-05-22,492.05
2014-05-23,525.72
2014-05-24,521.05
2014-05-25,525.23
2014-05-26,571.39
